Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis,Gain,Currency,Unmatched,AcquiredAccount,AcquiredId,SoldAccount,SoldId
0.02828344,ETH,18/04/2018,20/04/2018,55.97,51.07,4.9,ILS,,Binance,3117264-17618902,Binance,21362024-58164349
0.35313829,ETH,18/04/2018,20/04/2018,698.87,637.63,61.24,ILS,,Binance,3117265-17618902,Binance,21362024-58164349
0.69334893,ETH,18/04/2018,20/04/2018,1372.11,1251.92,120.19,ILS,,Binance,3117265-17618902,Binance,21362025-58164349
0.28670822,ETH,19/04/2018,20/04/2018,567.38,546.54,20.84,ILS,,Binance,4482229-18333450,Binance,21362025-58164349
0.84780285,ETH,20/04/2018,20/04/2018,1677.77,1744.75,-66.98,ILS,,Binance,10878439-26893641,Binance,21362025-58164349
0.4868112,ETH,20/04/2018,20/04/2018,963.38,1001.84,-38.46,ILS,,Binance,10878439-26893641,Binance,21362026-58164349
0.25933516,ETH,20/04/2018,20/04/2018,513.21,533.7,-20.49,ILS,,Binance,3621022-14948043,Binance,21362026-58164349
0.74178364,ETH,20/04/2018,20/04/2018,1467.96,1526.56,-58.6,ILS,,Binance,3621023-14948043,Binance,21362026-58164349
0.00028,ETH,20/04/2018,20/04/2018,0.55,0.58,-0.03,ILS,,Binance,3621023-14948043,Binance,21362027-58164349
0.00087998,USDT,17/04/2018,20/04/2018,0,0,0,ILS,,Binance,21089805-57312027,Binance,21437282-58378642
2148.717806,USDT,20/04/2018,20/04/2018,7556.35,7563.92,-7.57,ILS,,Binance,21362024-58164349,Binance,21437282-58378642
0.91269669,USDT,20/04/2018,20/04/2018,3.21,3.21,0,ILS,,Binance,21362024-58164349,Binance,21437291-58378642
0.15357431,USDT,20/04/2018,20/04/2018,0.54,0.54,0,ILS,,Binance,21362027-58164349,Binance,21437291-58378642
0.9113461,ETH,20/04/2018,20/04/2018,1873.64,1875.52,-1.88,ILS,,Binance,3621023-14948043,Binance,3628489-15005087
0.28612746,ETH,20/04/2018,20/04/2018,588.25,588.84,-0.59,ILS,,Binance,3621023-14948043,Binance,10894651-26980932
1.08100982,ETH,20/04/2018,20/04/2018,2222.45,2241.74,-19.29,ILS,,Binance,21437282-58378642,Binance,10894651-26980932
0.00019,ICX,17/04/2018,21/04/2018,0,0,0,ILS,,Binance,3569676-14614593,Binance,3645005-15120477
152.28981,ICX,20/04/2018,21/04/2018,1872.67,1873.55,-0.88,ILS,,Binance,3628489-15005087,Binance,3645005-15120477
0.584,TRX,18/04/2018,21/04/2018,0.11,0.09,0.02,ILS,,Binance,10774073-26470569,Binance,10932418-27148606
6211.416,TRX,20/04/2018,21/04/2018,1153.31,1112.62,40.69,ILS,,Binance,10894651-26980932,Binance,10932418-27148606
951,TRX,20/04/2018,21/04/2018,176.58,170.35,6.23,ILS,,Binance,10894651-26980932,Binance,10932419-27148606
1867,TRX,20/04/2018,21/04/2018,346.66,334.43,12.23,ILS,,Binance,10894651-26980932,Binance,10932421-27148606
6661,TRX,20/04/2018,21/04/2018,1236.78,1193.15,43.63,ILS,,Binance,10894651-26980932,Binance,10932422-27148606
1,ETH,20/04/2018,21/04/2018,2074.78,2073.75,1.03,ILS,,Binance,21437282-58378642,Binance,21577290-58753109
0.10118,ETH,20/04/2018,21/04/2018,209.83,209.82,0.01,ILS,,Binance,21437282-58378642,Binance,21577292-58753109
0.06,ETH,20/04/2018,21/04/2018,124.5,124.43,0.07,ILS,,Binance,21437282-58378642,Binance,21577285-58753109
0.39444272,ETH,20/04/2018,21/04/2018,817.77,817.98,-0.21,ILS,,Binance,21437282-58378642,Binance,21577294-58753109
0.20355,ETH,20/04/2018,21/04/2018,422.12,422.11,0.01,ILS,,Binance,21437282-58378642,Binance,21577293-58753109
0.06,ETH,20/04/2018,21/04/2018,124.49,124.43,0.06,ILS,,Binance,21437282-58378642,Binance,21577287-58753109
0.06,ETH,20/04/2018,21/04/2018,124.49,124.43,0.06,ILS,,Binance,21437282-58378642,Binance,21577286-58753109
0.06794,ETH,20/04/2018,21/04/2018,140.9,140.89,0.01,ILS,,Binance,21437282-58378642,Binance,21577291-58753109
0.61569,ETH,20/04/2018,21/04/2018,1277.44,1276.79,0.65,ILS,,Binance,21437282-58378642,Binance,21577288-58753109
0.00180819,ETH,20/04/2018,21/04/2018,3.75,3.75,0,ILS,,Binance,21437291-58378642,Binance,21577294-58753109
0.87889955,ETH,21/04/2018,21/04/2018,1822.16,1874.55,-52.39,ILS,,Binance,3645005-15120477,Binance,21577294-58753109
0.16987954,ETH,21/04/2018,21/04/2018,352.2,362.33,-10.13,ILS,,Binance,10932418-27148606,Binance,21577294-58753109
0.00399197,USDT,20/04/2018,22/04/2018,0.01,0.01,0,ILS,,Binance,21362027-58164349,Binance,21701715-59143886
2125.39551,USDT,21/04/2018,22/04/2018,7494.42,7501.92,-7.5,ILS,,Binance,21577285-58753109,Binance,21701715-59143886
0.0911854,ETH,21/04/2018,22/04/2018,199.96,194.48,5.48,ILS,,Binance,10932418-27148606,Binance,10960003-27322430
0.12493252,ETH,21/04/2018,22/04/2018,273.97,266.46,7.51,ILS,,Binance,10932418-27148606,Binance,10960005-27322430
0.15533343,ETH,21/04/2018,22/04/2018,340.64,331.3,9.34,ILS,,Binance,10932418-27148606,Binance,10960072-27322430
0.08287277,ETH,21/04/2018,22/04/2018,181.73,176.75,4.98,ILS,,Binance,10932419-27148606,Binance,10960072-27322430
0.16269555,ETH,21/04/2018,22/04/2018,356.78,347,9.78,ILS,,Binance,10932421-27148606,Binance,10960072-27322430
0.58045799,ETH,21/04/2018,22/04/2018,1272.9,1238.02,34.88,ILS,,Binance,10932422-27148606,Binance,10960072-27322430
0.49575852,ETH,22/04/2018,22/04/2018,1087.16,1097.13,-9.97,ILS,,Binance,21701715-59143886,Binance,10960072-27322430
1.69323672,ETH,22/04/2018,22/04/2018,3713.15,3747.18,-34.03,ILS,,Binance,21701715-59143886,Binance,3654831-15221573
0.00774,ICX,20/04/2018,25/04/2018,0.1,0.1,0,ILS,,Binance,3628489-15005087,Binance,3709314-15569261
127.44,ICX,22/04/2018,25/04/2018,1698.75,1582.25,116.5,ILS,,Binance,3654831-15221573,Binance,3709317-15569261
123.94,ICX,22/04/2018,25/04/2018,1652.38,1538.79,113.59,ILS,,Binance,3654831-15221573,Binance,3709316-15569261
39.98,ICX,22/04/2018,25/04/2018,534.57,496.38,38.19,ILS,,Binance,3654831-15221573,Binance,3709315-15569261
7.70226,ICX,22/04/2018,25/04/2018,103,95.63,7.37,ILS,,Binance,3654831-15221573,Binance,3709314-15569261
0.877,TRX,20/04/2018,25/04/2018,0.22,0.16,0.06,ILS,,Binance,10894651-26980932,Binance,11133536-27923999
1068.93,TRX,22/04/2018,25/04/2018,265.76,199.96,65.8,ILS,,Binance,10960003-27322430,Binance,11133536-27923999
1440.193,TRX,22/04/2018,25/04/2018,358.06,269.41,88.65,ILS,,Binance,10960005-27322430,Binance,11133536-27923999
24.341,TRX,22/04/2018,25/04/2018,6.05,4.55,1.5,ILS,,Binance,10960005-27322430,Binance,11133538-27923999
17313.659,TRX,22/04/2018,25/04/2018,4304.57,3238.84,1065.73,ILS,,Binance,10960072-27322430,Binance,11133538-27923999
2,TRX,22/04/2018,25/04/2018,0.5,0.37,0.13,ILS,,Binance,10960072-27322430,Binance,11133540-27923999
